title,title_en,website,phone,address,address_en,email,coords
"Show...What?","Show...What?",\N,"+30 21 0729 5401","Πλατεία Μεσολογγίου 6 Αθήνα 11634,  Ελλάδα ",\N,\N,"37.9682155, 23.7489418"
"Sam Burgers","Sam Burgers",\N,"+30 21 0324 7040","Βουλής 5 Αθήνα 10562,  Ελλάδα ",\N,\N,"37.9779808, 23.7317475"
"Αρα...ζω","Ara...zo",\N,"+30 21 0363 0568","Εμμανουήλ Μπενάκη 24 Αθήνα 10678,  Ελλάδα ",\N,\N,"37.9837715, 23.7316405"
"Magica Coffe& Food","Magica Coffe& Food","","+30 21 0882 1267","Χίου 44 & Κρήτης 30 Αθήνα 10438,  Ελλάδα ",\N,"magicacoffee@yahoo.com","37.968949, 23.6478376"
"Παραρλάμα","Pararlama","","+30 21 0752 0462","Εμπεδοκλέους 34 Αθήνα 11636,  Ελλάδα ",\N,"","37.9647356, 23.7439524"
"Το Ρεβίθι","To Revithi","https://falafelbar-torevithi.business.site/","+30 21 1411 6494","Παρθενώνος 1 Αθήνα 11742,  Ελλάδα ",\N,"torevithiathens@gmail.com","37.96629, 23.72605"
"Ιβίσκος καφέ","Iviskos kafe",\N,"+30 21 0512 4751","Τηλεφάνου 49 Αθήνα 104 42,  Ελλάδα ",\N,\N,"37.9940226, 23.7079607"
"Δούρειος Δείπνος","Doureios Deipnos","http://WWW.REALMOMMYSFOOD.GR/","+30 21 3088 1222","Δοϊράνης 1 Άνω Χολαργός Αθήνα 155 62,  Ελλάδα ",\N,"realmommysfood@gmail.com","37.99104, 23.73201"
"Milk Box","Milk Box",\N,"+30 21 1182 8571","Κολοκοτρώνη 39 Αθήνα 10562,  Ελλάδα ",\N,\N,"37.977627, 23.7301913"
"Ο Βολιώτης","O Voliotis",\N,"+30 697 359 8544","28ης Οκτωβρίου 86 Αθήνα 13123,  Ελλάδα ",\N,\N,"37.9949115, 23.7322647"
"Boheme Coffee & More","Boheme Coffee & More","","+30 21 0822 8360","Αιγίνης 1 Αθήνα 11362,  Ελλάδα ",\N,"bohemecoffee2017@gmail.com","37.9956478, 23.7371316"
"Γκουρμεζέ","Gkourmeze",\N,"+30 694 480 7676","Κρέοντος 96 & Βοσπόρου 91-93 Αθήνα 10443,  Ελλάδα ",\N,\N,"37.9994473, 23.7126061"
"Reception","Reception","http://www.reception-athens.gr/","+30 21 2105 3440","Παύλου Νιρβάνα 85 Αθήνα 11145,  Ελλάδα ",\N,"info@reception-athens.gr","38.0148156, 23.7201044"
"Fish Bar","Fish Bar",\N,"+30 21 0968 0100","Zisimopoulou 2 Αθήνα,  Ελλάδα ",\N,\N,"37.9989282, 23.7645888"
"Για ψαρακι","Gia psaraki",\N,"+30 21 0953 0764","Αθηνας 8 Αθήνα 10431,  Ελλάδα ",\N,\N,"37.9767588, 23.729127"
"Galeone","Galeone","","+30 21 0213 8881","Τράλλεων 69 Αθήνα 11142,  Ελλάδα ",\N,"","38.0222627, 23.7478062"
"Gastronomia","Gastronomia",\N,"+30 21 0941 6000","Δημοκρατίας 43 Αθήνα 17563,  Ελλάδα ",\N,\N,"37.9307784, 23.7040718"
"Η Στοα του Κωστα","I Stoa tou Kosta","http://www.istoatoukosta.gr/","+30 694 707 6764","Λεωκοριου 12 Αθήνα 105 54,  Ελλάδα ",\N,"","37.97781, 23.7219"
"Goody's Burger House","Goody's Burger House","","+30 21 0770 2400","Μικράς Ασίας 69 Αθήνα 11527,  Ελλάδα ",\N,"","37.9828739, 23.7646664"
"Souvlistas","Souvlistas",\N,"+30 21 1800 4500","Πρατίνου 7 Αθήνα 11634,  Ελλάδα ",\N,\N,"37.965769, 23.704148"
"Ο,τι να ναι καφεζυθοπωλειον","O,ti na nai kafezythopoleion","","+30 21 0698 1024","νικ. γεννηματα 3 Αθήνα 11524,  Ελλάδα ",\N,"","37.99398, 23.76247"
"Saltimbancos Boutique Cafe Bar","Saltimbancos Boutique Cafe Bar","","+30 21 0364 7660","Σκουφά 47 Αθήνα 10672,  Ελλάδα ",\N,"","37.980143, 23.738188"
"El Grado","El Grado","","+30 21 0779 4842","Παπαδιαμαντοπουλου 121 Αθήνα 115 27,  Ελλάδα ",\N,"elgradocoffee@gmail.com","37.9826363, 23.7665374"
"Chri-Bri Bar Restaurant","Chri-Bri Bar Restaurant",\N,"+30 21 1183 7586","Πυθίας 2 Αθήνα 11364,  Ελλάδα ",\N,\N,"38.0031019, 23.742657"
"Satyrus","Satyrus","https://plus.google.com/117096604450960248994/about?gl=gr&hl=en","+30 21 0345 1744","Κωνσταντινουπόλεως 108 Αθήνα 104 35,  Ελλάδα ",\N,"","37.9830968, 23.7137281"
"Κωνσταντινίδης","Konstantinidis",\N,"+30 21 0771 1644","Λεωφόρος Μεσογείων 86 Γουδί Αθήνα 115 27,  Ελλάδα ",\N,\N,"37.9889788, 23.7688072"
"Yoko Sushi","Yoko Sushi",\N,"+30 21 0324 2654","39 Πατριαρχου Ιοακιμ Αθήνα 15771,  Ελλάδα ",\N,\N,"37.971189, 23.7448111"
"Μισό Πιθάρι","Miso Pithari",\N,"+30 21 0325 4080","Ερμού 82 Μοναστηράκι Αθήνα 10555,  Ελλάδα ",\N,\N,"37.9768011, 23.7259619"
"Press Room","Press Room",\N,"+30 21 0330 6562","Εμμανουήλ Μπενάκη 9 Γαμβέτα Αθήνα 105 64,  Ελλάδα ",\N,\N,"37.9833683, 23.730539"
"Η Ζούλα","I Zoula",\N,"+30 21 0666 6666","Κωλέττη 5 Αθήνα 10681,  Ελλάδα ",\N,\N,"37.9843495, 23.7344005"
"Οι Αταίριαστοι","Oi Atairiastoi",\N,"+30 21 0993 6914","Κυπρίων Ηρώων 1 Αθήνα,  Ελλάδα ",\N,\N,"37.9299622, 23.7514223"
"Puzzle - The Premium Food","Puzzle - The Premium Food",\N,"+30 21 0748 2200","Λεωφόρος Παπάγου 147 Ζωγράφου Αθήνα 157 73,  Ελλάδα ",\N,\N,"37.9761552, 23.7765061"
"Handmade","Handmade",\N,"+30 21 0360 0011","Σκουφά 33 Σκουφά & Βουκουρεστίου Αθήνα 106 73,  Ελλάδα ",\N,\N,"37.9789225, 23.73919"
"Tramp","Tramp","","+30 21 0341 6345","Βουτάδων 36 Γκάζι Αθήνα 11854,  Ελλάδα ",\N,"tramp.gazi@gmail.com","37.9788627, 23.7120212"
"Trattoria il Doppio","Trattoria il Doppio",\N,"+30 21 0330 4333","30 Metaxa Andreou Str Exarhion Square, 1st Floor Αθήνα,  Ελλάδα ",\N,\N,"37.971687, 23.7309676"
"Κελαρι","Kelari",\N,"4005898","Αχιλλεως 7-9 Αμφιαλη Αθήνα 187 58,  Ελλάδα ",\N,\N,"37.9712606, 23.6208735"
"Meat Bar","Meat Bar",\N,"+30 21 0222 3333","Skoufa kai Omirou 58 Kolonaki Αθήνα 11111,  Ελλάδα ",\N,\N,"37.9804518, 23.7378366"
"Coffee Island","Coffee Island",\N,"+30 21 1411 1299","Πατησίων 112 Αθήνα 11257,  Ελλάδα ",\N,\N,"37.9968342, 23.7327479"
"Babaka's","Babaka's","","+30 21 6900 7081","Παπαδιαμαντοπούλου 30 Αθήνα 11528,  Ελλάδα ",\N,"","37.9792049, 23.7566664"
"Fatto Cibo Italiano","Fatto Cibo Italiano",\N,"+30 698 749 7497","Thoukididou 76 1Alimos Notia Proastria Αθήνα,  Ελλάδα ",\N,\N,"37.9380212, 23.7323309"
"Μασαμπούκα","Masampouka",\N,"+30 21 0766 0700","Λεωφόρος Αγίου Ιωάννη Καρέα 108 Αθήνα 16233,  Ελλάδα ",\N,\N,"37.9465299, 23.7732017"
"Viet-Au Asian Cuisine","Viet-Au Asian Cuisine",\N,"+30 21 0771 9872","Φωκίδος 20 Αμπελόκηποι Αθήνα 11526,  Ελλάδα ",\N,\N,"37.9871276, 23.7644909"
"Marie & Antoinette Homemade Flavours","Marie & Antoinette Homemade Flavours",\N,"+30 21 3041 6420","Τριανταφυλλίδης 22 & Γεωργίου Βλάχου Αθήνα 11525,  Ελλάδα ",\N,\N,"37.9773655, 23.7395573"
"ΠΙΚΟ","PIKO","","+30 21 1406 8120","Νηλέως 54 Αθήνα 11851,  Ελλάδα ",\N,"opikoresto@gmail.com","37.97538, 23.71456"
"La Scala","La Scala",\N,"+30 2298 074963","90 28th October Street & Tsakalof Old Harbor Αθήνα,  Ελλάδα ",\N,\N,"38.037514, 23.678757"
"Κρίταμο","Kritamo",\N,"+30 21 0988 7398","Αιόλου 6 Αθήνα,  Ελλάδα ",\N,\N,"37.9264364, 23.6912358"
"Tasty","Tasty",\N,"+30 21 0984 5301","Axilleos Αθήνα,  Ελλάδα ",\N,\N,"37.991418, 23.732646"
"Πεζοδρομος ","Pezodromos ","","+30 21 0924 8498","Πυθέου 20 Αθήνα 117 43,  Ελλάδα ",\N,"info@pezodromos.eu","37.963276704128, 23.73202463712"
"Inothira","Inothira",\N,"+30 21 0725 8428","Εθν. Μακαρίου 13 & Χρ. Σμύρνης Χρυσοστομου Σμυρνης Καισαριανη Αθήνα 161 21,  Ελλάδα ",\N,\N,"37.9676684, 23.7583078"
"ΒΛΑΧΙΚΗ ΓΑΣΤΡΑ - ΓΟΥΛΑΣ","VLACHIKI GASTRA - GOULAS",\N,"+30 21 0621 0165","ΚΟΛΟΚΟΤΡΩΝΗ 11 Αθήνα,  Ελλάδα ",\N,\N,"38.1162354, 23.87533"
"Ermou 46 Bar","Ermou 46 Bar",\N,"+30 21 0321 6616","Ερμού 46 Αθήνα 10563,  Ελλάδα ",\N,\N,"37.9763354, 23.7294599"
"Briciole pizzabar","Briciole pizzabar",\N,"+30 21 0360 8500","Μηλιώνη 6 Κολωνάκι Αθήνα 106 73,  Ελλάδα ",\N,\N,"37.9773598, 23.739686"
"Sicario","Sicario","","+30 697 066 3653","Κολοκοτρώνη 59 Αθήνα 10560,  Ελλάδα ",\N,"m2group@yahoo.com","37.9777166, 23.7286251"
"Camp Cafe Bar","Camp Cafe Bar",\N,"+30 21 0324 7679","4 Efpolidos Kotzia Square Αθήνα 105 51,  Ελλάδα ",\N,\N,"37.9773759, 23.731138"
"Οι Νοστιμιές της Κολιάτσου","Oi Nostimies tis Koliatsou",\N,"+30 21 1409 6905","Σιφνου Σιφνου & Αγιου Λουκα Αθήνα 11254,  Ελλάδα ",\N,\N,"38.0103866, 23.7348424"
"Χουζούρι","Chouzouri",\N,"+30 21 0721 2168","Χατζηγιάννη Μέξη 7 Αθήνα 11528,  Ελλάδα ",\N,\N,"37.9761808, 23.7518557"
"Beer Acadamy","Beer Acadamy","","+30 21 0381 6962","Stournari 29 Αθήνα,  Ελλάδα ",\N,"beeracademy.gm@gmail.com","38.027284, 23.79031"
"Pane Salame","Pane Salame","","+30 21 0361 3829","8 Milioni Kolonaki Αθήνα 106 73,  Ελλάδα ",\N,"","37.9774546, 23.7396057"
"Varvakeios","Varvakeios",\N,"+30 21 0321 2922","plateia Varvakeiou Αθήνα,  Ελλάδα ",\N,\N,"37.980479, 23.7272512"
"Salute Bistro","Salute Bistro",\N,"+30 698 748 3578","Erechthiou 19 Αθήνα 11742,  Ελλάδα ",\N,\N,"37.9671, 23.7252034"
"Coffee Island","Coffee Island","https://www.coffeeisland.gr/","+30 21 0523 9547","Θεοδώρου Δηληγιάννη 18 Αθήνα 10438,  Ελλάδα ",\N,"","37.987098, 23.720802"
"Παλιά Βουλή Εστιατόριο","Palia Vouli Estiatorio","","+30 21 3029 1819","Άνθιμου Γαζή 9 Αθήνα 105 61,  Ελλάδα ",\N,"","37.977967762037, 23.732474247291"
"Galata Gazi","Galata Gazi","","+30 21 0341 0222","Triptolemou 8 Αθήνα 11854,  Ελλάδα ",\N,"","37.9801761, 23.7121117"
"Avalon","Avalon",\N,"+30 21 1409 3578","Λεωκορίου 20 Ψυρρή Αθήνα 105 54,  Ελλάδα ",\N,\N,"37.9558364, 23.7124932"
"Coffee Island","Coffee Island","http://coffeeisland.gr/","+30 21 0866 3650","Αχαρνών  189 Αθήνα 10446,  Ελλάδα ",\N,"","38.00263, 23.727836"
"Kirikos","Kirikos","","+30 698 092 2699","Κωλέττη 9 Αθήνα,  Ελλάδα ",\N,"","37.9775644, 23.7546891"
"Καφέ Αρκούδα Classic Jazz Rock & Blues Bar","Kafe Arkouda Classic Jazz Rock & Blues Bar","https://plus.google.com/b/113126818625318621672/","+30 21 5505 0730","Σπύρου Μερκούρη Εριφύλης 2 Αθήνα 11634,  Ελλάδα ",\N,\N,"37.9703413, 23.7473806"
"Πεύκο","Pefko","","+30 21 0645 8208","Πανορμου 32 Φθιωτιδος Αθήνα 115 23,  Ελλάδα ",\N,"","37.99051, 23.75926"
"Mama Kefte","Mama Kefte","","+30 21 0331 0030","Ρόμβης 18 Αθήνα 10562,  Ελλάδα ",\N,"mamakefte@gmail.com","37.9768445, 23.7301399"
"Bios","Bios","http://www.bios.gr/","+30 21 0342 5335","Πειραιώς 84 Αθήνα 10435,  Ελλάδα ",\N,"","37.9797973, 23.7180824"
"Pita Status","Pita Status","https://www.instagram.com/pita_status/","+30 21 3032 6565","Ελασιδών 5 Α Pl. Koulouris Αθήνα 11854,  Ελλάδα ",\N,"pita.status.gazi@gmail.com","37.9764626, 23.7105596"
"Γκαζοχώρι","Gkazochori","http://www.gazohori.gr/","+30 21 0342 4044","Δεκελέων 2-6 Αθήνα 11854,  Ελλάδα ",\N,"gazohori@gmail.com","37.9785032, 23.7100647"
"Athenian China Town","Athenian China Town","http://www.china-town.gr/","+30 21 0684 5030","Φειδιππίδου 27 Αμπελόκηποι Αθήνα 11527,  Ελλάδα ",\N,"","37.9858717, 23.7649329"
"Η Ρεματια","I Rematia","http://rematia.weebly.com/","+30 21 0975 1823","Μενελαου 2 Λεωφ. Βουλιαγμενης Αθήνα 163 46,  Ελλάδα ",\N,"","37.93752, 23.7464"
"BOOX cafe bar","BOOX cafe bar",\N,"+30 21 0380 1942","Academias & Zoodohou pygis 1 Αθήνα,  Ελλάδα ",\N,\N,"37.9834124, 23.7331398"
"Παντιέρα","Pantiera","","+30 21 0922 0151","Γεωργάκη Ολυμπίου 2 Αθήνα 11741,  Ελλάδα ",\N,"","37.963382233825, 23.721426895815"
"Αθιβολή","Athivoli","","+30 231 050 8509","Αναξαγόρα 7 Αθήνα 14671,  Ελλάδα ",\N,"","38.00190006173, 23.711790351928"
"Il Gufo Caffe","Il Gufo Caffe","","+30 21 0322 2264","Σταδίου 10 Αθήνα 105 64,  Ελλάδα ",\N,"ilgufocaffe@gmail.com","37.9778894, 23.7335617"
"Λνκο","Lnko",\N,"+30 21 0345 8192","Περσεφονης 23 Αθήνα 118 54,  Ελλάδα ",\N,\N,"37.9776147, 23.7126097"
"Κουλουράδες","Koulourades",\N,"+30 21 0342 4510","Τριών Ιεραρχών 72 Αθήνα 11851,  Ελλάδα ",\N,\N,"37.9718353, 23.712162"
"Ο Γιώργος","O Giorgos","http://www.psitopoleio-ogiorgos.gr/","+30 21 0643 4914","Βαρατάση 1 Αθήνα 11475,  Ελλάδα ",\N,"psitopoleio.giorgos@gmail.com","37.98934, 23.74803"
"Titas","Titas",\N,"+30 695 594 0055","Διπλάρη 3 Αθήνα 105 52,  Ελλάδα ",\N,\N,"37.9804049, 23.7251783"
"Illissos","Illissos","http://www.ilissos.gr/","+30 21 0920 2000","Καλλιρόης 72 Αθήνα,  Ελλάδα ",\N,"","37.9613991, 23.7206688"
"Δούρειος Ίππος","Doureios Ippos","","+30 21 0383 2006","Κωλέττη 21 & Θεμιστοκλέους, Εξάρχεια Αθήνα 10681,  Ελλάδα ",\N,"","37.985486619947, 23.73337633721"
"Βυζάντιον","Vyzantion",\N,"+30 21 0864 0969","Αγίου Μελετίου 67 Αθήνα 11251,  Ελλάδα ",\N,\N,"38.0001262, 23.7322258"
"Fan Fan","Fan Fan",\N,"+30 21 0992 9299","Λεωφόρος Ελευθερίου Βενιζέλου 162 Hλιούπολη Αθήνα 163 41,  Ελλάδα ",\N,\N,"37.9281542, 23.7535368"
"Σταυρόλεξο","Stavrolexo",\N,"+30 21 0724 3923","Βαλαωρίτου 18 Γωνία Βαλαωρίτου 18 & Αμερικής Αθήνα 54626,  Ελλάδα ",\N,\N,"37.9785336, 23.7361078"
"Αττικά Αρτοποϊεία","Attika Artopoieia",\N,"+30 21 5551 5041","Βρυαξίδος 2 Αθήνα 11635,  Ελλάδα ",\N,\N,"37.9674455, 23.7467938"
"IORI","IORI",\N,"+30 698 685 3635","Aggelou Vlachou 4 Αθήνα 10558,  Ελλάδα ",\N,\N,"37.9749865, 23.728736"
"Domino's Pizza Athens Kypseli","Domino's Pizza Athens Kypseli",\N,"+30 21 0696 2800","12 Kodrigtonos Str Αθήνα,  Ελλάδα ",\N,\N,"37.9955911, 23.7331078"
"Laticca","Laticca","","+30 21 0228 0652","Ιακωβίδου 54 Near saint Eleutherios church Αθήνα 111 43,  Ελλάδα ",\N,"","38.0192197, 23.7292986"
"Cookou Food","Cookou Food",\N,"+30 21 0383 1955","66 Themistokleous Αθήνα,  Ελλάδα ",\N,\N,"37.9860604, 23.7343009"
"The Wrap","The Wrap","https://www.instagram.com/thewrapathens/","+30 21 0364 6750","Ζαλοκώστα 8 Κολωνάκι Αθήνα 10671,  Ελλάδα ",\N,"info@thewrap-athens.com","37.9771814, 23.7370835"
"Hot Ηot Burger Bar","Hot Iot Burger Bar",\N,"+30 21 6800 7217","Ερμού 104 Αθήνα 10555,  Ελλάδα ",\N,\N,"37.9770844, 23.7239087"
"Εκκεντρικον","Ekkentrikon",\N,"+30 21 1013 5507","Πλ.Υμηττου 16 & Κωνσταντινουπολεως 2 Αθήνα 172 37,  Ελλάδα ",\N,\N,"37.9545183, 23.7462332"
"Εμπορικον","Emporikon","","+30 21 0321 7308","Βορεου 10 Αθήνα 104 31,  Ελλάδα ",\N,"","37.9781, 23.72691"
"Το Στέκι του Σωκράτη","To Steki tou Sokrati","","+30 21 0698 0182","Βελεστίνου 19 Αθήνα 115 23,  Ελλάδα ",\N,"","37.99025, 23.76172"
"Juicitto","Juicitto",\N,"+30 21 3041 0216","Αττάλειας 2 Αθήνα 171 23,  Ελλάδα ",\N,\N,"37.9462248, 23.7154133"
"Γρηγόρης","Grigoris",\N,"+30 21 3040 0400","Ερμού 78 & Αθηνάς 2 Αθήνα 105 51,  Ελλάδα ",\N,\N,"37.9767687, 23.7262912"
"Πειρασμός","Peirasmos","","+30 21 0882 4232","Βελβενδού 20 & Φαέθοντος, Κυψέλη Αθήνα 11364,  Ελλάδα ",\N,"","38.0026474, 23.7435837"
"Luxus","Luxus",\N,"+30 21 3004 7353","Valtetsiou 27 Αθήνα,  Ελλάδα ",\N,\N,"37.9844454, 23.736562"
"ο Πρόεδρος","o Proedros",\N,"+30 21 0721 1911","Αναπήρων Πολέμου 22 Αθήνα 11521,  Ελλάδα ",\N,\N,"37.9807803, 23.7487835"
"Barini","Barini",\N,"+30 21 0322 0061","Πλατεία Αγίας Ειρήνης 9 Αθήνα 105 63,  Ελλάδα ",\N,\N,"37.9768491, 23.7280964"
"Το Νησί","To Nisi",\N,"+30 21 0591 3636","Κώστα Βάρναλη 62 & Δωδεκανήσου 106 Αθήνα 132 31,  Ελλάδα ",\N,\N,"38.041641, 23.6884168"
"Ο Πλατανο","O Platano","http://eleinitsa.wix.com/platanos","+30 21 0322 0666","Ποντου 13 Αθήνα 115 28,  Ελλάδα ",\N,"","37.974318249031, 23.727639777207"
"Charlie Restaubar","Charlie Restaubar",\N,"+30 21 0324 5308","Κολοκοτρώνη 8 Αθήνα 105 61,  Ελλάδα ",\N,\N,"37.9775366, 23.7315788"
"Χαμηλός όπως Παλιά","Chamilos opos Palia","http://www.xamhlosopospalia.com/","+30 21 0513 1359","Αδριανουπόλεως 30 Αθήνα 104 44,  Ελλάδα ",\N,"","37.994192704892, 23.716914576721"
"Ραμόν","Ramon","https://www.instagram.com/ramon_pagrati/","+30 21 5555 6440","Σπύρου Μερκούρη 22 Α Αθήνα 11634,  Ελλάδα ",\N,"","37.97008, 23.74762"
"Η Μουριά","I Mouria","","+30 21 0381 2607","Χαριλαόυ Τρικούπη 87 Αθήνα 11473,  Ελλάδα ",\N,"","37.985785708888, 23.738845956535"
"O Mythos","O Mythos",\N,"+30 21 0800 2868","13 Kassaveti Kifisia Αθήνα 145 62,  Ελλάδα ",\N,\N,"38.0749336, 23.8192366"
"Hall OF Fame Greece","Hall OF Fame Greece",\N,"+30 21 0243 1535","Λ. Θρακομακεδόνων 127 Αθήνα,  Ελλάδα ",\N,\N,"38.119698, 23.747323"
"Latraac Skate Cafe","Latraac Skate Cafe","http://www.latraac.com/","+30 21 3045 3377","Λεωνίδου 63-65 Αθήνα 10435,  Ελλάδα ",\N,"","37.9817366, 23.7174942"
"Grill-Fish","Grill-Fish",\N,"+30 21 0995 7997","36 Andreas Papandreou Ave. Αθήνα 16345,  Ελλάδα ",\N,\N,"37.9695263, 23.7529383"
"Crepa Queen","Crepa Queen","https://crepaqueen.gr/","+30 21 0331 7576","Πλατεία Αγίων Ασωμάτων 9 Απέναντι απο τον Σταθμό Η.Σ.Α.Π. Θησείο Αθήνα 10554,  Ελλάδα ",\N,"","37.9780376, 23.7208163"
"Linatsa","Linatsa",\N,"+30 21 0777 7744","Grigoriou Afxentiou 75 Αθήνα 15771,  Ελλάδα ",\N,\N,"37.9747407, 23.7664197"
"Pizza Workshop","Pizza Workshop","","+30 21 0723 9009","Μαρασλή 23 Αθήνα 10676,  Ελλάδα ",\N,"","37.9777701, 23.746408"
"Βεράντα","Veranta",\N,"+30 21 0325 0088","Αδριανού 60-64 Αθήνα 10555,  Ελλάδα ",\N,\N,"37.9750043, 23.7271919"
"Epmeion","Epmeion","http://www.hermion.gr/","+30 21 0324 7148","Πανδρόσου 15 Αθήνα 105 56,  Ελλάδα ",\N,"","37.975122, 23.728293"
"Falafel Mohammad Ali","Falafel Mohammad Ali",\N,"+30 21 0520 1839","Λιοσίων 5 Αθήνα 104 38,  Ελλάδα ",\N,\N,"37.9876887, 23.7260381"
"Ανατολιτικο Σις Κεμπαπ","Anatolitiko Sis Kempap",\N,"+30 21 0701 5287","Υμητου 69, Παγκρατι Αθήνα,  Ελλάδα ",\N,\N,"37.9688062, 23.7525669"
"Condande","Condande","","+30 21 0384 3605","Τζωρτζ 30-32 Αθήνα 10682,  Ελλάδα ",\N,"","37.9869347, 23.7320007"
"Cibus","Cibus",\N,"+30 21 0336 9364","Aigli Αθήνα,  Ελλάδα ",\N,\N,"37.9709536, 23.7374619"
"Wok Box","Wok Box","http://wokbox.com.gr/","+30 21 0922 7722","Λεμπέση 9 Αθήνα 11742,  Ελλάδα ",\N,"info@wokbox.com.gr","37.9678396, 23.7299828"
"Αράζω","Arazo",\N,"+30 21 0363 0568","Χαριλαού Τρικούπη 16 Αθήνα 10679,  Ελλάδα ",\N,"triantafillosg@hotmail.com","37.98368, 23.73212"
"Κλωστήριον","Klostirion","","+30 21 0524 8496","Μυλλέρου 17 Πλ. Αυδή, Μεταξουργείο Αθήνα 104 36,  Ελλάδα ",\N,"klostirion@gmail.com","37.982330083732, 23.719551349638"
"Johnie Hot Dog","Johnie Hot Dog",\N,"+30 21 0347 8354","Ιερά Οδός 36 Αθήνα 104 35,  Ελλάδα ",\N,\N,"37.9591664, 23.7194321"
"Πέτρα και Φώς ","Petra kai Fos ",\N,"+30 698 350 6852","Παναγή Τσαλδάρη 124 Νίκαια Αθήνα 18450,  Ελλάδα ",\N,\N,"37.9682089, 23.6460351"
"Chaplin Brothers","Chaplin Brothers","http://www.chaplinbrothers.gr/","+30 21 1012 7340","Σαρρή 37 Αθήνα 10554,  Ελλάδα ",\N,"","37.9785443, 23.7219518"
"Silver Spurs","Silver Spurs","","+30 21 0756 7262","Ευφράνορος 22-24 Αθήνα 11635,  Ελλάδα ",\N,"","37.9666339, 23.7454724"
"Βεσπάκι","Vespaki",\N,"+30 21 0922 3523","Ζίννη 30 Κουκάκι Αθήνα 11741,  Ελλάδα ",\N,\N,"37.9634847, 23.7236467"
"Παραδοσιακό Καφενείο Κύθηρα","Paradosiako Kafeneio Kythira",\N,"+30 21 0321 4496","Κολοκοτρώνη 29 Στοάς Τοσίτσας Αθήνα,  Ελλάδα ",\N,\N,"37.9774746, 23.7307086"
"Σταμάτης - Πεϊνιρλί","Stamatis - Peinirli","","+30 21 0330 0055","Ακαδημίας 77 & Εμμανουήλ Μπενάκη 19 Αθήνα 10678,  Ελλάδα ",\N,"","37.98413, 23.73223"
"Tar Beer Restuarant","Tar Beer Restuarant","","+30 21 0223 7717","Herakleioy Avenu 31 Αθήνα,  Ελλάδα ",\N,"","38.020187, 23.7371062"
"Πλατανος","Platanos",\N,"+30 21 0748 6386","Σεβαστειας 4 Αθήνα 11528,  Ελλάδα ",\N,\N,"37.9801096, 23.7570776"
"Καφενές","Kafenes","","+30 21 0692 8836","Ευσταθίου 29 Σεβαστοπούλου Αθήνα 11524,  Ελλάδα ",\N,"","37.9967117, 23.7613506"
"Kinono","Kinono",\N,"+30 21 1408 6826","Φαλήρου 48 Κουκάκι Αθήνα 11742,  Ελλάδα ",\N,\N,"37.964809, 23.7257579"
"Nuri Indian Restaurant","Nuri Indian Restaurant",\N,"+30 21 0321 4049","2 Diplari Αθήνα 105 52,  Ελλάδα ",\N,\N,"37.9811173, 23.7249703"
"Cats","Cats",\N,"+30 21 0322 7752","Θησείου 7 Μοναστηράκι Αθήνα 10555,  Ελλάδα ",\N,\N,"37.9768316, 23.7221818"
"Chef Panda","Chef Panda","","+30 21 0958 7871","Κρέμου 221 και Μεγαλουπόλεως 24 Αθήνα 17675,  Ελλάδα ",\N,"","37.9526876, 23.6920889"
"Bierhof","Bierhof",\N,"+30 21 0380 0222","Stournari 6 Exarcheia Αθήνα,  Ελλάδα ",\N,\N,"37.9869008, 23.734884"
"Κολοκίθα","Kolokitha",\N,"+30 21 0924 7386","Δράκου 19 Αθήνα 11742,  Ελλάδα ",\N,\N,"37.9656532, 23.7255398"
"ΠολυΠίτα","PolyPita","","+30 21 0721 5555","Σπύρου Μερκούρη 19 Παγκράτι Αθήνα 116 34,  Ελλάδα ",\N,"polypita.greece@gmail.com","37.9727211, 23.747576"
"Showroom Cafe Bar Restaurant","Showroom Cafe Bar Restaurant",\N,"+30 21 0364 6460","Milioni 12 Kolonaki Αθήνα 11257,  Ελλάδα ",\N,\N,"37.977762, 23.739431"
"Έπι Της Πατησίων","Epi Tis Patision","","+30 21 0228 1881","Πατησίων 341 Αθήνα 11141,  Ελλάδα ",\N,"epitispatision@gmail.com","38.021380660006, 23.735605860005"
"Το μπέρδεμα","To mperdema",\N,"+30 21 0729 2085","Εθνικής Αντιστάσεως 73 Αναγεννήσεως Αθήνα,  Ελλάδα ",\N,\N,"37.9684315, 23.7590167"
"Το Στέκι του Φίτσουλα - Αλέκος","To Steki tou Fitsoula - Alekos","","+30 21 0723 8104","Νάξου 49 Καισαριανή Αθήνα 16122,  Ελλάδα ",\N,"","37.96718, 23.7685"
"Nick","Nick","","+30 697 370 8851","Αιγάλεω 37 Βοτανικός Αθήνα 118 55,  Ελλάδα ",\N,"","38.0524887, 23.8202827"
"Πλειαδες","Pleiades","https://restaurant-53808.business.site/","+30 21 0346 4655","Δημόφωντος 94 Αθήνα 11851,  Ελλάδα ",\N,"","37.9702817, 23.7124338"
"Rena Tis Ftelias","Rena Tis Ftelias",\N,"+30 21 0674 3874","28th, Ikostis Pemptis Martiou str. Neo Psichiko Αθήνα 15451,  Ελλάδα ",\N,\N,"38.0047591, 23.7797255"
"Abracar","Abracar","","+30 21 1413 1971","Στοά Κοραή Αθήνα 10564,  Ελλάδα ",\N,"abracarathens@gmail.com","37.9795297, 23.7324043"
